Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;2;4.A.1;1;2;9;88.72;-31.67;92.51;0.736
1;2;4.A.1;1;2;10;98.12;-34.02;94.41;0.672
1;2;4.A.1;1;2;11;108.64;-41.46;95.91;0.629
1;2;4.A.1;1;2;12;118.54;-45.46;99.15;0.574
1;2;4.A.1;1;2.6_1;1;64.16;-15.63;90.27;0.458
1;2;4.A.1;1;1.7_1;1;68.89;-23.35;91.31;0.402
1;2;4.A.1;1;1.9_1;1;88.15;-35.07;95.1;0.59
1;2;4.A.1;1;1.9_1;2;86.74;-38.36;98.88;0.554
1;2;4.A.1;1;1.9_1;3;85.55;-42.11;103.53;0.503
1;2;4.A.1;1;1.9_1;4;84.97;-45.63;107.81;0.504
1;2;4.A.1;1;1.9_1;5;82.86;-48.24;112.72;0.508
1;2;4.A.1;1;1.9_1;6;81.14;-51.95;116.97;0.48
1;2;4.A.1;1;1.9_1;7;78.87;-53.81;120.52;0.481
1;2;4.A.1;1;1.9_1;8;77.52;-57.23;123.87;0.385
1;2;4.A.1;1;1.9_1.8_1;1;77.33;-57.4;124.36;0.235
1;2;4.A.1;1;1.9_1.8_1;2;78.58;-57.45;124.95;0.17
1;2;4.A.1;1;1.11_1;1;108.67;-44.21;98.24;0.43
1;2;4.A.1;1;1.12_1;1;120.49;-45.28;100.61;0.565
1;2;4.A.1;1;1.12_1;2;122.54;-47.02;102.87;0.518
1;2;4.A.1;1;1.12_1;3;125.22;-49.95;108.92;0.474
1;2;4.A.1;1;1.12_1;4;128.72;-52.57;113.68;0.454
1;2;4.A.2;0;0;0;21.15;-1.18;68.9;3.459
1;2;4.A.2;1;0;0;20.62;-1.7;70.3;2.251
1;2;4.A.2;1;1M;0;20.28;-3.34;71.45;1.764
1;2;4.A.2;1;1M;1;21.91;-5.87;72.57;1.081
1;2;4.A.2;1;1M;2;22.47;-8.82;76.46;0.95
1;2;4.A.2;1;1M;3;23.73;-13.88;83.2;0.951
1;2;4.A.2;1;1M;4;26.45;-17.63;92.11;0.922
1;2;4.A.2;1;1M;5;30.07;-26.54;107.19;0.74
1;2;4.A.2;1;1M.5_1;1;27.23;-28.47;111.93;0.573
1;2;4.A.2;1;1M.5_1;2;26.75;-30.53;116.77;0.514
1;2;4.A.2;1;1M.5_1;3;25.58;-31.29;120.91;0.492
1;2;4.A.2;1;1M.5_1;4;25.24;-32.72;125.79;0.49
1;2;4.A.2;1;1M.5_1;5;24.51;-33.07;130.92;0.3
1;2;4.A.2;1;2M;0;20.86;1.77;73.35;1.304
1;2;4.A.2;1;2M;1;20.96;3.13;74.04;1.079
1;2;4.A.2;1;2M;2;21.63;6.88;75.8;0.903
1;2;4.A.2;1;2M;3;23.34;13.29;76.78;0.807
1;2;4.A.2;1;2M;4;25.13;22.99;78.78;0.719
1;2;4.A.2;1;2M;5;26.49;31.86;80.56;0.624
1;2;4.A.2;1;2M;6;28.55;38.63;82.55;0.555
1;2;4.A.2;1;2M.6_1;1;30.16;39.24;85.36;0.423
1;2;4.A.2;1;2M.6_1;2;31.28;41.86;88.74;0.3
1;2;4.A.2;1;3M;0;18.93;2.37;73.62;0.399
1;2;4.A.2;1;3M;1;18.05;3.62;74.49;0.369
1;2;4.A.2;1;3M;2;17.44;5.25;77.51;0.38
1;2;4.B.1;0;0;0;33.47;6.6;63.44;3.212
1;2;4.B.1;0;G1;0;34.57;5;61.57;2.726
1;2;4.B.1;0;G1;1;35.52;5.22;61.23;0.746
1;2;4.B.1;0;G1;2;36.58;6.91;61.34;0.574
1;2;4.B.1;0;G1;3;36.88;11.48;62.83;0.486
1;2;4.B.1;0;G1;4;38;18.17;62.9;0.441
1;2;4.B.1;0;G1;5;38.45;23.79;64.02;0.406
1;2;4.B.1;0;G1;6;35.97;31.42;64.4;0.388
1;2;4.B.1;0;G1;7;33.35;38.27;64.69;0.367
1;2;4.B.1;0;G1;8;30.62;43.6;65.77;0.38
1;2;4.B.1;0;G1;9;30;48.49;67.52;0.378
1;2;4.B.1;0;G1.9_1;1;30.53;49.36;68.31;0.444
1;2;4.B.1;0;G1.9_1;2;30.24;52.66;68.57;0.255
1;2;4.B.1;0;G2;0;34.6;5.13;65.27;2.217
1;2;4.B.1;0;G2;1;35.35;4.92;65.66;0.609
1;2;4.B.1;0;G2;2;37.07;5.92;68.88;0.351
1;2;4.B.2;0;0;0;38.24;1.65;62.24;2.439
1;2;4.B.2;1;0;0;38.24;1.65;61;2
1;2;4.B.2;1;1;0;39.06;1.28;59.84;1.477
1;2;4.B.2;1;1;1;39.3;1.68;59.84;1.494
1;2;4.B.2;1;1;2;42.29;6.24;60.16;1.054
1;2;4.B.2;1;1;3;46.88;12.98;61.24;1.037
1;2;4.B.2;1;1;4;50.87;21.7;63.69;0.94
1;2;4.B.2;1;1;5;56.08;30.9;65.29;0.884
1;2;4.B.2;1;1;6;64.69;46.4;68.58;0.789
1;2;4.B.2;1;1.5_1;1;57.18;36.61;63.79;0.56
1;2;4.B.2;1;1.5_1;2;58.88;42.05;64.46;0.569
1;2;4.B.2;1;1.5_1;3;60.72;49.69;65.75;0.607
1;2;4.B.2;1;1.6_1;1;66.19;48.73;72.45;0.648
1;2;4.B.2;1;1.6_1;2;68.85;52.16;75.89;0.569
1;2;4.B.2;1;2;0;38.45;-1.42;57.35;1.383
1;2;4.B.2;1;2;1;38.38;-2.31;57.25;1.14
1;2;4.B.2;1;2;2;38.31;-4.59;57.22;0.979
1;2;4.B.2;1;2;3;39.13;-9.42;57.04;0.877
1;2;4.B.2;1;2;4;40.71;-17.28;55.34;0.823
1;2;4.B.2;1;2;5;43.03;-27.92;53.61;0.766
1;2;4.B.2;1;2;6;45.87;-37.06;50.69;0.732
1;2;4.B.2;1;2;7;47.72;-45.77;50.54;0.613
1;2;4.B.2;1;2.5_1;1;43.91;-28.64;55.07;0.208
1;2;4.B.2;1;2.6_1;1;48.12;-38.53;51.46;0.279
1;2;4.B.2;1;2.7_1;1;47.43;-47.37;52.43;0.452
