Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;1;3.A.2;1;2M;7;-77.56;7.92;101.43;0.647
1;1;3.A.2;1;2M;8;-83.67;8.8;106.62;0.635
1;1;3.A.2;1;2;0;-45.2;4.65;60.56;1.401
1;1;3.A.2;1;2;1;-47.14;4.87;60.26;1.055
1;1;3.A.2;1;2;2;-48.99;8.32;59.34;0.928
1;1;3.A.2;1;2;3;-51.19;15.12;55.96;0.88
1;1;3.A.2;1;2;4;-53.08;24.15;51.1;0.805
1;1;3.A.2;1;2;5;-53.91;30.44;46.63;0.729
1;2;1;0;0;0;0.99;0.65;58.39;7.642
1;2;1.A;0;0;0;-1.73;0.73;53.33;5.804
1;2;1.A;1;0;0;-2.67;3.23;56.92;1.314
1;2;1.A;1;1;0;-0.33;6.16;54.76;1.358
1;2;1.A;1;1;1;-0.27;7.68;54.45;1.142
1;2;1.A;1;1;2;-1.08;9.69;55.44;0.781
1;2;1.A;1;1;3;-2.8;12.63;58.76;0.744
1;2;1.A;1;1;4;-5.71;16.36;61.67;0.675
1;2;1.B.1;0;0;0;3.98;-1.44;61.4;6.207
1;2;1.B.1;1;0;0;1.45;-1.5;61.95;1.83
1;2;1.B.1;1;1;0;0.94;-0.82;62.06;1.647
1;2;1.B.1;1;1;1;0.67;0.16;62.89;1.572
1;2;1.B.1;1;1;2;0.46;1.89;63.71;1.286
1;2;1.B.1;1;1;3;0.08;4.66;66.18;1.169
1;2;1.B.1;1;1;4;0.53;8.96;69.72;1.134
1;2;1.B.1;1;1;5;-0.16;15.23;72.5;1.056
1;2;1.B.1;1;1;6;0.06;25.61;75.71;1.01
1;2;1.B.1;1;1;7;-1.35;33.95;76.24;1.015
1;2;1.B.1;1;1;8;-1.75;43.13;76.11;0.859
1;2;1.B.1;1;1;9;-3.74;55.57;75.98;0.826
1;2;1.B.1;2;0;0;5.14;-4.36;62.52;1.858
1;2;1.B.1;2;1;0;6.67;-3.68;62.68;1.795
1;2;1.B.1;2;1;1;7.62;-1.42;63.69;1.314
1;2;1.B.1;2;1;2;9.49;1.32;65.1;0.985
1;2;1.B.1;2;1;3;11.52;5.09;66.31;0.775
1;2;1.B.1;2;1;4;13.39;10.48;67.83;0.731
1;2;1.B.1;2;1;5;16.72;17.37;70.72;0.756
1;2;1.B.1;2;1;6;18.38;23.54;72.78;0.764
1;2;1.B.1;2;2;0;8.49;-4.45;64.73;0.923
1;2;1.B.1;2;2;1;9.13;-5.54;65.44;0.801
1;2;1.B.1;2;2;2;9.89;-6.87;67.81;0.638
1;2;1.B.1;2;2;3;11.5;-8.76;71.45;0.687
1;2;1.B.1;2;2;4;15.17;-10.55;77.18;0.678
1;2;1.B.1;2;2;5;19.67;-15.22;86.1;0.682
1;2;2;0;0;0;11.91;3.88;59.15;3.531
1;2;3;0;0;0;20.68;3.75;59.52;3.518
